chrom,start,end,gene_id,gene_name,transloc_id,condition,behavior,behavior_collapsed,change_direction,WT,T1,C1,log2_WT,log2_T1,log2_C1,log2FC_T1_vs_WT,log2FC_C1_vs_WT,log2FoldChange_T1,padj_T1,DE_T1,log2FoldChange_C1,padj_C1,DE_C1
chr3,196763,409417,ENSG00000134121.10,CHL1,T1,T1,other,other,B_to_A,0.0,0.033979333333333334,0.06088866666666667,0.0,0.048207350067276625,0.0852732627789707,0.048207350067276625,0.0852732627789707,,,ns,,,ns
chr3,1092658,1404217,ENSG00000134115.13,CNTN6,T1,T1,other,other,B_to_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ns,,,ns
chr3,2098813,3057959,ENSG00000144619.15,CNTN4,T1,T1,other,other,B_to_A,0.0,0.0,0.00628,0.0,0.0,0.009031794612158178,0.0,0.009031794612158178,,,ns,,,ns
chr3,3066324,3126613,ENSG00000091181.20,IL5RA,T1,T1,other,other,B_to_A,0.0,0.0,0.014845333333333334,0.0,0.0,0.0212598714147672,0.0,0.0212598714147672,,,ns,,,ns
chr3,3126933,3153435,ENSG00000072756.18,TRNT1,T1,T1,other,other,B_to_A,30.703952,34.927045,29.73304433333333,4.986590783057399,5.166998373417986,4.9417187784164645,0.18040759036058684,-0.04487200464093455,0.188487782366051,0.0303693705753585,ns,-0.362494174994548,9.333028060892e-06,ns
chr3,3144628,3179727,ENSG00000113851.16,CRBN,T1,T1,other,other,B_to_A,28.977541333333335,32.15878166666667,18.513476333333333,4.905810157570579,5.051319094611602,4.28639891240868,0.14550893704102297,-0.6194112451618983,0.203749600117791,0.109160247182576,ns,-0.752921915542447,3.9744458991604594e-11,ns
chr3,3700814,4467273,ENSG00000144455.14,SUMF1,T1,T1,other,other,B_to_A,20.164109999999997,11.792584666666665,14.577519666666667,4.403547916140739,3.6772358766250695,3.9613936331991715,-0.7263120395156695,-0.44215428294156744,-0.648590467818438,5.7093314246243505e-15,ns,-0.580592464308957,1.0125346121409e-11,ns
chr3,3799431,3849834,ENSG00000175928.6,LRRN1,T1,T1,other,other,B_to_A,0.15201633333333334,0.0,0.041479666666666665,0.20416117151282476,0.0,0.058634673189868404,-0.20416117151282476,-0.14552649832295636,-7.73728376883358,1.00767713407955e-07,down,-1.43829199666641,0.0134676175235299,down
chr3,4303332,4317265,ENSG00000170364.13,SETMAR,T1,T1,other,retained,retained,11.880683666666664,8.232109666666668,3.1388676666666666,3.6871372641421973,3.206660361615159,2.0492361215578554,-0.48047690252703834,-1.637901142584342,-0.40409749978145,0.0001501559341048,ns,-1.79858469222879,4.64050582813545e-50,down
chr3,4493345,4847506,ENSG00000150995.21,ITPR1,T1,T1,other,retained,retained,1.499075666666667,0.4835483333333333,2.489165,1.3213945838064174,0.5690519299354074,1.8028818231135946,-0.75234265387101,0.4814872393071772,-1.55155264264354,1.14683107608595e-41,down,0.396762707821868,0.0003421082243251,ns
chr3,4979437,4985323,ENSG00000134107.5,BHLHE40,T1,T1,other,retained,retained,29.43290966666667,55.637024,155.30762666666666,4.927560370277561,5.8236735556959855,7.288244362774761,0.8961131854184243,2.3606839924972,1.04422373544722,1.1704365263701e-48,up,2.2814198027231,1.71351840754964e-229,up
chr3,5122249,5180911,ENSG00000134108.14,ARL8B,T1,T1,other,retained,retained,67.745863,71.13631233333332,76.61662733333334,6.10320099228162,6.172653768159837,6.2782938401056985,0.06945277587821685,0.17509284782407875,0.225591805922127,9.24337138068993e-06,ns,-0.0734167710572614,0.183043374555499,ns
chr3,5187646,5219958,ENSG00000134109.11,EDEM1,T1,T1,other,retained,retained,36.534063,17.461757666666667,41.186457,5.230128562908193,4.206468007365597,5.398708023801218,-1.0236605555425955,0.16857946089302533,-0.924267686543535,1.52738591381394e-43,ns,0.0590148625251878,0.445489513112837,ns
chr3,6770001,7741533,ENSG00000196277.17,GRM7,T1,T1,other,other,B_to_A,0.0,0.0,0.0035426666666666666,0.0,0.0,0.005101955693908609,0.0,0.005101955693908609,,,ns,,,ns
chr3,8501807,8574668,ENSG00000071282.12,LMCD1,T1,T1,other,retained,retained,1.2765326666666665,2.6899003333333336,2.7657923333333336,1.18683816118003,1.8835818486575855,1.9129534439429008,0.6967436874775554,0.7261152827628707,0.955106402019171,1.05860092980969e-08,ns,0.314878469737265,0.109976353914515,ns
chr3,8619386,8745040,ENSG00000125046.16,SSUH2,T1,T1,other,retained,retained,0.08590500000000001,0.20321133333333333,0.12790300000000002,0.1188978950171751,0.2668900612794444,0.17364300086055773,0.14799216626226933,0.05474510584338263,0.867317273467457,0.0635501905741118,ns,0.0287950518435408,0.963371670882793,ns
chr3,8733802,8841808,ENSG00000182533.7,CAV3,T1,T1,other,retained,retained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ns,,,ns
chr3,8750381,8769628,ENSG00000180914.11,OXTR,T1,T1,other,retained,retained,0.27818733333333334,0.6305463333333333,0.3850116666666667,0.3540992956470228,0.7053554370511084,0.4698981288890872,0.35125614140408556,0.11579883324206441,1.21494203488698,7.95127524862026e-07,up,0.350688882784391,0.225906247546648,ns
chr3,8775402,8963773,ENSG00000070950.10,RAD18,T1,T1,other,retained,retained,31.654714666666663,30.563012,32.138719,5.029219397077879,4.980162980534042,5.050445930154435,-0.04905641654383697,0.021226533076555754,-0.0655763635105655,0.391868102368761,ns,-0.453860557028402,4.51430555709544e-13,ns
chr3,8980591,9363053,ENSG00000196220.17,SRGAP3,T1,T1,other,retained,retained,4.988569333333333,3.9084559999999997,7.297689000000001,2.582211384945318,2.2952692829004486,3.052709585557851,-0.28694210204486925,0.47049820061253333,-0.340859249236039,9.3840550235044e-07,ns,-0.0492608086531894,0.542916479013024,ns
chr3,9362971,9386791,ENSG00000134077.16,THUMPD3,T1,T1,retained,retained,retained,49.549836,57.250871,57.177779333333326,5.659634506454416,5.864207716808545,5.862396324190299,0.20457321035412956,0.2027618177358832,0.323370703511759,1.87354529713471e-07,ns,0.065457211828297,0.349271004193134,ns
chr3,9397615,9479240,ENSG00000168137.20,SETD5,T1,T1,retained,retained,retained,23.832488,21.545265333333333,27.902052666666666,4.63415690917864,4.494752583919422,4.853100053594548,-0.13940432525921764,0.218943144415908,-0.0279818393507759,0.730201405401923,ns,0.272660340117662,7.92693516859033e-07,ns
chr3,9498361,9553822,ENSG00000156959.9,LHFPL4,T1,T1,retained,retained,retained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ns,,,ns
chr3,9649433,9702393,ENSG00000163719.20,MTMR14,T1,T1,retained,retained,retained,13.829952333333333,12.612284,17.755399666666666,3.8904420555542054,3.7668372512968555,4.229234101207165,-0.12360480425734988,0.33879204565295984,-0.0405294333819217,0.72682748781976,ns,0.278652676906091,0.0006073425305241,ns
chr3,9703826,9729908,ENSG00000144550.14,CPNE9,T1,T1,retained,retained,retained,0.005849666666666666,0.009113000000000001,0.030117666666666668,0.008414697428333581,0.013087735803610053,0.04280914072959453,0.004673038375276472,0.03439444330126095,0.0727126216969863,0.846973304074683,ns,0.632177493230217,0.272781877438033,ns
chr3,9731729,9748019,ENSG00000156983.17,BRPF1,T1,T1,retained,retained,retained,6.448814,4.366845333333333,5.5489223333333335,2.8970107379873027,2.42407431180238,2.711257521570663,-0.4729364261849227,-0.18575321641663978,-0.443814177494431,1.70548991602593e-08,ns,-0.270907195590827,0.0009141591222434,ns
