gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name
ENSG00000000003.15	1686.69244914075	-0.68117180404494	0.0866230602843344	1.78274472850778e-15	6.13081700925805e-15	TSPAN6
ENSG00000000419.14	3735.77614014309	-0.233065697706138	0.0832984831083469	0.00495932325716151	0.0086380236592833	DPM1
ENSG00000000457.14	738.381894773407	0.562412073164106	0.0904221742145135	4.24058650517769e-10	1.18562058499434e-09	SCYL3
ENSG00000000460.17	1733.5038241251	-1.94496688528383	0.0653996629115145	5.96159290464076e-195	2.83844311231229e-193	C1orf112
ENSG00000000938.13	23.8583297221271	4.19293807638626	0.658593226675385	2.06161955389462e-11	6.09654188652353e-11	FGR
ENSG00000000971.17	1288.00182550694	-2.09754678667866	0.0847870878853321	8.10220005123356e-136	2.13220237964734e-134	CFH
ENSG00000001036.14	5429.57593858305	0.0641448559330713	0.0632924674417993	0.310716465832722	0.384811956348945	FUCA2
ENSG00000001084.13	3936.78961986318	-0.387342849445712	0.0668225015516624	6.19357272143365e-09	1.63827428460843e-08	GCLC
ENSG00000001167.15	2691.49501948594	-0.0115232546478415	0.0598541040259595	0.845478724737343	0.879599968736134	NFYA
ENSG00000001460.18	889.587878994711	0.33931414004199	0.0724664762294741	2.67387045365768e-06	6.09946483256525e-06	STPG1
ENSG00000001461.17	4182.03357162793	0.193985237920411	0.0744695952263428	0.0109145112051671	0.0181663220212935	NIPAL3
ENSG00000001497.18	3030.71663734167	-0.55119528441718	0.0741045176690678	8.62034455680198e-14	2.80401955355958e-13	LAS1L
ENSG00000001561.7	509.563946951175	6.53770305809012	0.214569105819318	8.60047586302827e-204	4.50058542224044e-202	ENPP4
ENSG00000001617.12	2525.21873281612	-0.992131824411823	0.0992194462202121	8.93912215707537e-24	3.94436377131025e-23	SEMA3F
ENSG00000001629.10	3709.68966409825	0.635055893008534	0.0557472171013592	3.71608844769556e-30	1.9038142281889e-29	ANKIB1
ENSG00000001630.18	12135.2867786789	0.0224877155176948	0.0668451320490568	0.743637718604408	0.79521406098619	CYP51A1
ENSG00000001631.17	2046.36112235534	-0.69270649707081	0.0624797220908679	1.16069142266049e-28	5.74302023966066e-28	KRIT1
ENSG00000002016.18	327.795075756647	-3.01308642478601	0.17378135695242	5.94004190914191e-68	6.22826831941468e-67	RAD52
ENSG00000002079.14	125.454190164763	-0.154134825306614	0.178173300740687	0.378764435914611	0.455693124122304	MYH16
ENSG00000002330.14	1152.25454865094	-2.38052530875875	0.088245398997327	6.24258191007419e-161	2.13839031311757e-159	BAD
ENSG00000002549.13	4237.92285440016	0.58563778719155	0.0676739508657341	4.43564693988359e-18	1.67089032429418e-17	LAP3
ENSG00000002586.20	2930.32948906143	-0.831584013133804	0.100483373180201	8.63187410778143e-17	3.10679069511607e-16	CD99
ENSG00000002586.20_PAR_Y	2793.00801298189	-0.802292456438572	0.0892280102735401	1.6785428029536e-19	6.59996288051927e-19	CD99
ENSG00000002587.10	237.995448510801	3.63665468465259	0.180101157950591	2.23977846130257e-91	3.28389984729778e-90	HS3ST1
ENSG00000002726.21	8.22460951881005	-4.76965834261927	2.37964108286249	0.000194168464405919	0.000387841688225403	AOC1
ENSG00000002746.15	64.9613571820448	2.50785187492686	0.257267817409524	3.07196059611696e-23	1.33858973711459e-22	HECW1
ENSG00000002822.16	739.688407681857	-0.341386517379779	0.101892116714472	0.000757325172840442	0.00143473573576737	MAD1L1
ENSG00000002834.18	14318.0481010643	0.746706022752078	0.0715638014012774	1.46256330605895e-25	6.73758118537623e-25	LASP1
ENSG00000002919.15	1013.58975511611	0.0688060688270609	0.0766686914716308	0.369739401637536	0.446561984183688	SNX11
ENSG00000003056.8	7006.80166326927	-0.213970938669312	0.0618258348839054	0.000514825588771896	0.000989774311910482	M6PR
ENSG00000003096.15	175.910454815466	-8.76280035916181	0.969628891244139	2.98604056955819e-18	1.12970127228446e-17	KLHL13
ENSG00000003137.9	773.802507191433	-0.924602944528493	0.0893524894053445	2.69744212847258e-25	1.23536213308612e-24	CYP26B1
ENSG00000003147.19	915.716030699625	1.32926970778307	0.0771012405912406	5.56676214750543e-67	5.73103967053472e-66	ICA1
ENSG00000003249.15	733.800841578028	1.16219952481032	0.0805685288764123	1.82338166366031e-47	1.34669336466307e-46	DBNDD1
ENSG00000003393.16	2011.33601204378	-0.267814720084322	0.0700043304563883	0.000124750308379204	0.000253213357190107	ALS2
ENSG00000003400.16	164.59223480617	1.92409705843767	0.167779122507022	4.61001068790855e-31	2.40906472004351e-30	CASP10
ENSG00000003402.21	2632.63970135782	-0.235909602786818	0.0588514691978749	5.86761825091778e-05	0.000122077206024729	CFLAR
ENSG00000003436.16	5550.73328489661	1.01127281526277	0.0455944826686037	3.27993055842121e-109	6.16643236029008e-108	TFPI
ENSG00000003509.16	1469.49968790128	1.11397777765716	0.0738683274086249	1.18521229543995e-51	9.39195967960106e-51	NDUFAF7
ENSG00000003756.17	3082.88886107655	-0.739111232607036	0.0608892536820972	4.73002714409463e-34	2.65178095456759e-33	RBM5
